Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
P.J. Tucker,PF,38,TOT,9,3,17.8,0.7,1.9,0.353,0.6,1.6,0.357,0.1,0.3,0.333,0.5,0.3,0.3,1.0,1.4,2.3,3.8,0.4,0.7,0.3,0.3,2.3,2.2
P.J. Tucker,PF,38,LAC,6,0,15.7,0.7,2.0,0.333,0.5,1.5,0.333,0.2,0.5,0.333,0.458,0.5,0.5,1.0,2.0,1.3,3.3,0.7,0.5,0.2,0.2,2.0,2.3
Myles Turner,C,27,IND,11,11,26.6,6.3,12.2,0.515,1.9,4.8,0.396,4.4,7.4,0.593,0.593,3.5,4.4,0.792,1.5,6.0,7.5,1.5,0.5,1.7,1.6,3.5,17.9
Stanley Umude,SG,24,DET,8,0,7.8,0.9,2.0,0.438,0.6,1.3,0.5,0.3,0.8,0.333,0.594,1.0,1.1,0.889,0.0,1.1,1.1,0.1,0.1,0.1,0.4,1.3,3.4
Jonas Valančiūnas,C,31,NOP,11,11,24.2,4.6,9.1,0.51,0.9,2.3,0.4,3.7,6.8,0.547,0.56,1.5,1.8,0.85,1.7,6.5,8.2,2.0,0.3,1.5,1.5,2.5,11.7
Fred VanVleet,PG,29,HOU,9,9,35.9,5.9,15.3,0.384,3.1,8.4,0.368,2.8,6.9,0.403,0.486,2.3,2.7,0.875,0.2,3.2,3.4,7.9,0.6,0.3,1.7,2.1,17.2
Devin Vassell,SG,23,SAS,9,8,28.9,6.2,12.6,0.496,2.4,5.7,0.431,3.8,6.9,0.548,0.593,2.4,3.3,0.733,0.4,3.1,3.6,2.8,1.0,0.1,1.3,0.9,17.3
Sasha Vezenkov,PF,28,SAC,9,0,13.8,2.2,5.2,0.426,1.2,3.7,0.333,1.0,1.6,0.643,0.543,0.3,0.3,1.0,0.1,1.7,1.8,0.2,0.7,0.2,0.1,1.1,6.0
Gabe Vincent,PG,27,LAL,4,0,28.3,2.8,7.0,0.393,0.3,3.5,0.071,2.5,3.5,0.714,0.411,0.3,0.5,0.5,0.5,0.5,1.0,3.0,1.5,0.0,0.5,2.5,6.0
Nikola Vučević,C,33,CHI,12,12,34.8,7.6,15.8,0.481,1.0,3.4,0.293,6.6,12.3,0.534,0.513,1.4,1.8,0.773,3.0,7.8,10.8,2.9,0.9,0.7,1.9,2.9,17.6
