Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Xavier Tillman Sr.,C,25,MEM,7,5,25.9,3.9,9.1,0.422,1.0,2.9,0.35,2.9,6.3,0.455,0.477,0.6,1.3,0.444,2.0,4.7,6.7,2.4,1.6,0.9,1.4,2.9,9.3
Obi Toppin,PF,25,IND,11,11,22.7,4.5,7.4,0.617,0.7,2.4,0.308,3.8,5.0,0.764,0.667,1.3,1.5,0.824,0.9,2.4,3.3,0.5,0.8,0.3,0.5,1.7,11.1
Karl-Anthony Towns,PF,28,MIN,12,12,33.3,8.1,16.5,0.49,2.0,5.6,0.358,6.1,10.9,0.557,0.551,3.5,3.8,0.913,1.1,7.9,9.0,2.8,0.8,0.7,2.3,3.0,21.7
Gary Trent Jr.,SG,25,TOR,9,2,27.6,3.9,10.3,0.376,2.0,5.2,0.383,1.9,5.1,0.37,0.473,1.0,2.1,0.474,0.4,2.0,2.4,0.9,1.0,0.1,0.9,1.1,10.8
P.J. Tucker,PF,38,TOT,10,3,17.4,0.6,1.7,0.353,0.5,1.4,0.357,0.1,0.3,0.333,0.5,0.3,0.3,1.0,1.3,2.1,3.4,0.4,0.6,0.3,0.3,2.4,2.0
P.J. Tucker,PF,38,LAC,7,0,15.4,0.6,1.7,0.333,0.4,1.3,0.333,0.1,0.4,0.333,0.458,0.4,0.4,1.0,1.7,1.1,2.9,0.6,0.4,0.1,0.1,2.1,2.0
Myles Turner,C,27,IND,11,11,26.6,6.3,12.2,0.515,1.9,4.8,0.396,4.4,7.4,0.593,0.593,3.5,4.4,0.792,1.5,6.0,7.5,1.5,0.5,1.7,1.6,3.5,17.9
Stanley Umude,SG,24,DET,9,0,8.8,1.0,2.1,0.474,0.8,1.4,0.538,0.2,0.7,0.333,0.658,1.3,1.4,0.923,0.1,1.6,1.7,0.1,0.2,0.2,0.3,1.2,4.1
Jonas Valančiūnas,C,31,NOP,13,13,25.4,5.5,10.2,0.534,0.8,2.2,0.379,4.6,8.0,0.577,0.575,1.8,2.2,0.828,2.0,6.4,8.4,2.2,0.3,1.6,1.5,2.8,13.6
Fred VanVleet,PG,29,HOU,10,10,36.4,6.0,15.2,0.395,3.3,8.5,0.388,2.7,6.7,0.403,0.503,2.1,2.4,0.875,0.3,3.6,3.9,8.1,0.6,0.4,1.7,1.9,17.4
Devin Vassell,SG,23,SAS,9,8,28.9,6.2,12.6,0.496,2.4,5.7,0.431,3.8,6.9,0.548,0.593,2.4,3.3,0.733,0.4,3.1,3.6,2.8,1.0,0.1,1.3,0.9,17.3
Sasha Vezenkov,PF,28,SAC,10,0,14.1,2.2,5.1,0.431,1.2,3.5,0.343,1.0,1.6,0.625,0.549,0.3,0.3,1.0,0.1,1.9,2.0,0.2,0.6,0.2,0.1,1.3,5.9
Gabe Vincent,PG,27,LAL,4,0,28.3,2.8,7.0,0.393,0.3,3.5,0.071,2.5,3.5,0.714,0.411,0.3,0.5,0.5,0.5,0.5,1.0,3.0,1.5,0.0,0.5,2.5,6.0
Nikola Vučević,C,33,CHI,14,14,34.4,7.3,15.6,0.466,0.9,3.5,0.265,6.4,12.1,0.524,0.495,1.4,1.7,0.792,2.9,7.6,10.5,2.9,0.9,0.6,1.9,2.9,16.9
Dean Wade,PF,27,CLE,11,5,19.0,1.0,2.9,0.344,0.9,2.7,0.333,0.1,0.2,0.5,0.5,0.2,0.4,0.5,0.6,2.5,3.2,0.6,0.5,0.3,0.4,2.1,3.1
Franz Wagner,SF,22,ORL,12,12,33.7,6.9,16.6,0.417,1.8,5.8,0.3,5.2,10.8,0.481,0.47,2.9,3.5,0.833,1.2,4.3,5.5,3.3,1.1,0.3,2.1,2.3,18.5
Moritz Wagner,C,26,ORL,12,0,19.5,4.4,6.9,0.639,0.6,1.8,0.333,3.8,5.2,0.742,0.681,2.0,2.4,0.828,1.3,3.2,4.5,1.2,0.5,0.5,1.3,2.8,11.4
Jabari Walker,SF,21,POR,12,0,15.5,2.3,5.0,0.467,0.6,1.8,0.318,1.8,3.2,0.553,0.525,1.3,1.7,0.75,1.2,2.8,4.0,0.5,0.8,0.7,0.8,1.8,6.5
Jarace Walker,PF,20,IND,3,0,9.0,1.3,4.0,0.333,0.0,0.7,0.0,1.3,3.3,0.4,0.333,0.7,0.7,1.0,0.3,2.0,2.3,1.7,0.3,0.3,0.0,0.7,3.3
Lonnie Walker IV,SG,25,BRK,11,0,21.6,5.8,11.5,0.508,2.3,5.2,0.439,3.5,6.3,0.565,0.607,1.8,2.4,0.769,0.2,2.7,2.9,2.0,0.7,0.5,1.3,1.0,15.7
Cason Wallace,SG,20,OKC,13,1,23.0,3.0,4.8,0.629,1.0,1.8,0.542,2.0,2.9,0.684,0.734,0.7,0.7,1.0,0.5,1.8,2.4,1.8,0.6,0.4,0.5,1.8,7.7
P.J. Washington,PF,25,CHO,12,12,32.5,5.9,13.0,0.455,1.6,5.2,0.306,4.3,7.8,0.553,0.516,1.4,1.9,0.739,1.1,4.3,5.3,2.0,0.4,0.7,1.6,2.8,14.8
Yuta Watanabe,SF,29,PHO,12,0,18.6,1.8,4.6,0.382,1.3,3.6,0.372,0.4,1.0,0.417,0.527,0.5,0.6,0.857,0.6,2.1,2.7,0.7,0.3,0.3,0.8,1.8,5.3
Trendon Watford,PF,23,BRK,6,0,14.0,2.7,4.8,0.552,0.3,0.8,0.4,2.3,4.0,0.583,0.586,1.0,1.0,1.0,1.3,2.5,3.8,2.2,0.7,0.2,1.0,2.0,6.7
Peyton Watson,SF,21,DEN,12,0,14.3,2.0,3.7,0.545,0.3,1.2,0.286,1.7,2.5,0.667,0.591,0.3,0.7,0.5,0.4,1.4,1.8,0.7,0.5,0.9,0.7,1.3,4.7
Victor Wembanyama,PF,20,SAS,13,13,30.2,7.2,16.8,0.429,1.6,5.7,0.284,5.6,11.2,0.503,0.477,3.2,4.2,0.778,2.2,7.4,9.5,2.4,1.1,2.6,3.8,2.8,19.3
Blake Wesley,SG,20,SAS,4,0,5.3,0.8,2.0,0.375,0.0,0.3,0.0,0.8,1.8,0.429,0.375,0.3,0.5,0.5,0.3,0.3,0.5,0.8,0.0,0.3,0.3,0.8,1.8
Russell Westbrook,PG,35,LAC,11,10,29.5,5.6,12.5,0.449,1.1,3.5,0.316,4.5,9.1,0.5,0.493,1.1,1.9,0.571,1.4,5.3,6.6,5.4,1.7,0.3,3.2,2.7,13.5
Coby White,PG,23,CHI,14,14,31.4,4.3,11.3,0.38,1.8,5.8,0.309,2.5,5.5,0.455,0.459,1.2,1.6,0.773,0.2,2.5,2.7,4.1,1.1,0.2,1.8,2.8,11.6
Derrick White,SG,29,BOS,10,10,31.0,4.6,9.6,0.479,2.4,5.7,0.421,2.2,3.9,0.564,0.604,2.4,2.9,0.828,0.7,3.0,3.7,4.6,0.9,0.9,1.3,2.1,14.0
Cam Whitmore,SF,19,HOU,3,0,7.7,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.3,0.7,0.5,0.0,1.0,1.0,0.3,0.3,0.0,0.7,0.3,2.3
Aaron Wiggins,SG,25,OKC,11,0,10.4,1.5,2.7,0.533,0.3,1.0,0.273,1.2,1.7,0.684,0.583,0.4,0.5,0.667,0.2,1.3,1.5,0.6,0.3,0.1,0.5,0.8,3.5
Andrew Wiggins,SF,28,GSW,14,14,26.7,4.9,11.5,0.429,0.7,3.2,0.222,4.2,8.3,0.509,0.46,1.4,2.9,0.5,1.9,1.9,3.9,1.1,0.4,0.4,1.7,2.5,12.0
Grant Williams,PF,25,DAL,13,13,29.6,3.8,8.2,0.472,2.8,5.8,0.48,1.1,2.4,0.452,0.642,0.9,1.5,0.632,1.0,2.7,3.7,1.5,0.3,0.7,0.9,2.4,11.4
Jalen Williams,PF,22,OKC,13,13,33.2,6.5,12.6,0.518,1.1,2.9,0.368,5.5,9.7,0.563,0.561,3.4,3.8,0.88,0.2,3.8,4.1,3.6,0.8,0.2,2.2,3.0,17.5
Jaylin Williams,C,21,OKC,8,0,12.1,1.3,3.3,0.385,0.5,2.0,0.25,0.8,1.3,0.6,0.462,0.6,0.8,0.833,0.3,3.1,3.4,1.3,0.5,0.3,0.4,1.6,3.6
Jeenathan Williams,SG,24,HOU,2,0,6.5,2.0,3.5,0.571,0.0,1.0,0.0,2.0,2.5,0.8,0.571,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,4.5
Kenrich Williams,PF,29,OKC,3,0,18.3,2.3,4.3,0.538,0.3,1.3,0.25,2.0,3.0,0.667,0.577,0.3,0.7,0.5,1.0,2.0,3.0,2.0,0.3,0.0,0.3,2.7,5.3
Patrick Williams,PF,22,CHI,14,6,22.4,1.9,6.0,0.31,0.7,2.8,0.256,1.1,3.2,0.356,0.369,1.1,1.4,0.8,0.7,2.8,3.5,1.3,1.1,0.9,1.1,1.6,5.6
Vince Williams Jr.,SG,23,MEM,4,0,8.0,0.5,2.0,0.25,0.3,1.8,0.143,0.3,0.3,1.0,0.313,1.8,2.0,0.875,0.0,1.3,1.3,1.0,0.3,0.8,0.5,1.0,3.0
Ziaire Williams,SF,22,MEM,11,8,25.5,3.1,8.5,0.366,1.4,4.4,0.313,1.7,4.1,0.422,0.446,1.5,1.7,0.895,0.7,4.5,5.3,1.5,0.5,0.5,1.5,2.1,9.1
Zion Williamson,PF,23,NOP,10,10,31.2,8.7,16.6,0.524,0.1,0.2,0.5,8.6,16.4,0.524,0.527,4.3,7.5,0.573,2.6,3.7,6.3,4.4,0.8,0.3,2.9,2.8,21.8
James Wiseman,C,22,DET,6,0,9.3,2.2,3.7,0.591,0.0,0.2,0.0,2.2,3.5,0.619,0.591,0.2,0.3,0.5,0.8,2.0,2.8,0.3,0.2,0.3,0.5,1.7,4.5
Christian Wood,PF,28,LAL,13,1,20.8,2.5,5.5,0.451,0.8,2.5,0.333,1.6,2.9,0.553,0.528,1.2,2.0,0.615,1.2,5.2,6.4,0.8,0.2,0.6,1.3,1.8,7.0
Delon Wright,PG,31,WAS,8,0,17.6,1.4,3.8,0.367,0.5,1.4,0.364,0.9,2.4,0.368,0.433,1.8,2.0,0.875,0.4,2.1,2.5,4.4,1.6,0.1,0.5,0.8,5.0
Trae Young,PG,25,ATL,11,11,35.7,6.3,17.6,0.356,2.0,7.1,0.282,4.3,10.5,0.405,0.412,8.8,9.8,0.898,0.6,2.0,2.6,11.1,1.5,0.0,4.1,1.5,23.4
Omer Yurtseven,C,25,UTA,7,0,4.6,1.0,1.4,0.7,0.1,0.4,0.333,0.9,1.0,0.857,0.75,0.1,0.3,0.5,0.4,1.1,1.6,0.4,0.0,0.1,0.1,0.9,2.3
Precious Achiuwa,C,24,TOR,8,0,20.4,3.3,7.3,0.448,0.5,2.0,0.25,2.8,5.3,0.524,0.483,0.8,1.1,0.667,1.9,4.6,6.5,2.0,0.4,0.4,1.3,1.9,7.8
Bam Adebayo,C,26,MIA,13,13,34.4,8.3,15.5,0.537,0.1,0.2,0.5,8.2,15.3,0.538,0.54,6.2,7.5,0.825,2.2,8.0,10.2,4.1,1.3,1.1,2.7,2.4,22.8
Ochai Agbaji,SG,23,UTA,13,5,19.1,1.8,4.1,0.434,1.0,2.5,0.406,0.8,1.6,0.476,0.557,0.2,0.3,0.5,1.0,1.9,2.9,0.9,0.4,0.8,0.6,1.6,4.7
Santi Aldama,PF,23,MEM,7,1,25.7,5.9,12.9,0.456,2.1,5.7,0.375,3.7,7.1,0.52,0.539,0.9,1.7,0.5,1.3,5.1,6.4,2.6,0.7,0.7,1.7,1.4,14.7
Nickeil Alexander-Walker,SG,25,MIN,13,2,20.8,2.2,5.2,0.426,1.2,3.3,0.372,1.0,1.9,0.52,0.544,0.2,0.5,0.333,0.2,1.7,1.8,2.5,0.8,0.8,0.9,1.5,5.8
Grayson Allen,SG,28,PHO,13,13,31.9,4.3,9.0,0.479,2.7,5.5,0.493,1.6,3.5,0.457,0.628,1.0,1.1,0.929,0.9,3.8,4.7,2.7,0.5,0.5,1.7,2.4,12.3
Kyle Anderson,PF,30,MIN,13,0,24.8,3.1,5.5,0.556,0.2,0.8,0.2,2.9,4.8,0.613,0.569,1.3,2.1,0.63,0.7,3.0,3.7,4.2,1.1,0.9,1.8,1.5,7.6
Giannis Antetokounmpo,PF,29,MIL,13,13,32.7,11.8,19.1,0.621,0.5,2.1,0.259,11.3,17.0,0.665,0.635,6.0,9.7,0.619,2.4,7.8,10.2,4.6,1.0,1.2,4.2,3.0,30.2
Cole Anthony,PG,23,ORL,13,0,24.8,4.2,10.2,0.409,1.4,4.0,0.346,2.8,6.2,0.45,0.477,3.7,4.4,0.842,0.9,3.6,4.5,3.1,0.7,0.3,2.4,2.7,13.4
OG Anunoby,SF,26,TOR,9,9,30.9,5.8,12.1,0.477,2.6,6.9,0.371,3.2,5.2,0.617,0.583,1.4,2.3,0.619,0.7,3.4,4.1,1.9,1.3,0.6,1.6,2.3,15.6
Deni Avdija,SF,23,WAS,13,13,27.5,5.1,9.5,0.532,1.2,3.0,0.41,3.8,6.5,0.588,0.597,1.3,1.7,0.773,1.3,4.2,5.5,3.6,1.2,0.4,1.5,2.6,12.7
Marvin Bagley III,C,24,DET,15,5,19.5,4.3,7.3,0.591,0.1,0.3,0.2,4.3,7.0,0.61,0.595,2.5,2.8,0.905,1.8,3.3,5.1,1.3,0.1,0.5,1.3,1.7,11.3
LaMelo Ball,PG,22,CHO,13,13,34.4,8.9,20.1,0.444,3.5,8.8,0.391,5.5,11.2,0.486,0.531,4.0,4.6,0.867,1.6,4.0,5.6,8.3,1.5,0.3,4.2,3.8,25.3
Paolo Banchero,PF,21,ORL,13,13,33.2,6.5,14.0,0.467,1.1,2.8,0.389,5.5,11.2,0.486,0.505,4.5,6.9,0.656,1.5,5.3,6.8,4.5,1.3,0.5,3.4,2.3,18.7
Desmond Bane,SG,25,MEM,13,13,34.8,9.4,20.6,0.455,3.6,9.6,0.376,5.8,11.0,0.524,0.543,3.5,4.0,0.865,0.9,3.4,4.3,4.8,1.4,0.8,2.5,3.1,25.8
Dalano Banton,PG,24,BOS,5,0,7.2,1.2,2.6,0.462,0.0,0.6,0.0,1.2,2.0,0.6,0.462,0.6,0.6,1.0,0.8,1.4,2.2,0.4,0.4,0.0,0.2,1.0,3.0
Harrison Barnes,PF,31,SAC,13,13,30.7,3.8,8.3,0.454,1.8,4.9,0.359,2.0,3.4,0.591,0.56,2.2,2.7,0.8,0.7,2.3,3.0,1.5,0.8,0.1,0.8,1.1,11.5
Scottie Barnes,SG,22,TOR,13,13,34.6,7.6,15.9,0.478,2.0,5.1,0.394,5.6,10.8,0.518,0.541,2.8,3.8,0.755,2.7,6.2,8.9,6.0,1.5,1.5,2.5,2.2,20.1
RJ Barrett,SG,23,NYK,9,9,29.6,7.1,15.7,0.454,2.7,5.4,0.49,4.4,10.2,0.435,0.539,3.9,4.7,0.833,0.7,3.1,3.8,2.9,0.7,0.2,2.2,1.4,20.8
Charles Bassey,C,23,SAS,14,0,11.2,1.6,2.2,0.71,0.0,0.1,0.0,1.6,2.1,0.733,0.71,0.1,0.2,0.667,1.4,2.8,4.1,1.0,0.6,0.7,0.7,1.5,3.3
Emoni Bates,SF,20,CLE,6,0,6.2,0.5,1.7,0.3,0.3,1.2,0.286,0.2,0.5,0.333,0.4,0.2,0.3,0.5,0.2,1.2,1.3,0.2,0.0,0.2,0.2,0.2,1.5
Keita Bates-Diop,SF,28,PHO,10,4,21.1,2.3,5.3,0.434,0.7,2.2,0.318,1.6,3.1,0.516,0.5,0.9,1.3,0.692,1.2,2.4,3.6,1.1,0.7,1.1,0.1,1.5,6.2
Bradley Beal,SG,30,PHO,3,3,28.7,6.0,15.3,0.391,1.7,5.0,0.333,4.3,10.3,0.419,0.446,3.7,5.3,0.688,1.0,4.3,5.3,3.7,0.7,0.3,3.0,3.0,17.3
Malik Beasley,SG,27,MIL,14,14,27.1,3.9,7.9,0.495,2.7,5.8,0.469,1.2,2.1,0.567,0.667,0.6,0.9,0.667,0.4,3.4,3.8,1.4,0.9,0.0,0.6,2.1,11.1
MarJon Beauchamp,SF,23,MIL,10,0,16.7,2.6,5.1,0.51,1.1,2.5,0.44,1.5,2.6,0.577,0.618,0.5,0.8,0.625,0.8,1.5,2.3,1.0,0.3,0.1,0.7,1.7,6.8
Patrick Beverley,PG,35,PHI,13,0,15.6,0.8,2.7,0.314,0.2,1.3,0.118,0.7,1.4,0.5,0.343,0.2,0.4,0.6,0.8,2.1,2.9,1.9,0.4,0.4,0.5,2.0,2.1
Saddiq Bey,SF,24,ATL,12,3,27.9,4.5,9.1,0.495,1.8,4.6,0.382,2.8,4.5,0.611,0.592,1.5,1.8,0.857,2.0,3.4,5.4,1.2,1.1,0.3,1.5,1.3,12.3
Goga Bitadze,C,24,ORL,11,8,17.7,2.6,4.4,0.604,0.0,0.3,0.0,2.6,4.1,0.644,0.604,1.8,2.5,0.741,2.1,3.4,5.5,1.1,0.9,1.4,0.5,2.3,7.1
Anthony Black,PG,20,ORL,11,7,19.5,2.1,4.1,0.511,0.5,1.5,0.294,1.6,2.5,0.643,0.567,1.0,1.5,0.688,0.7,1.5,2.2,1.4,0.4,0.5,1.1,2.0,5.6
Bogdan Bogdanović,SG,31,ATL,12,1,26.0,5.3,12.2,0.432,2.9,8.3,0.354,2.3,3.9,0.596,0.551,1.2,1.3,0.933,0.3,2.3,2.7,3.0,1.6,0.4,1.3,2.0,14.6
Devin Booker,SG,27,PHO,5,5,34.0,10.0,19.6,0.51,2.8,6.4,0.438,7.2,13.2,0.545,0.582,6.0,6.4,0.938,0.8,4.8,5.6,9.8,0.2,0.2,3.4,3.6,28.8
Chris Boucher,PF,31,TOR,11,0,16.8,2.5,5.2,0.474,0.8,1.8,0.45,1.6,3.4,0.486,0.553,1.8,2.3,0.8,1.6,3.7,5.4,0.5,0.3,0.7,0.5,2.4,7.5
Malaki Branham,SG,20,SAS,14,3,20.6,3.6,8.4,0.436,0.9,3.1,0.295,2.7,5.2,0.521,0.491,0.6,0.6,0.889,0.1,1.1,1.3,2.4,0.4,0.1,1.1,1.3,8.8
Christian Braun,SG,22,DEN,14,0,21.1,3.7,7.6,0.491,0.7,1.9,0.385,3.0,5.7,0.525,0.538,1.3,1.9,0.667,1.0,3.4,4.4,2.0,0.4,0.3,0.6,1.5,9.4
Mikal Bridges,SF,27,BRK,13,13,34.0,7.5,16.2,0.464,1.9,6.2,0.313,5.6,10.1,0.557,0.524,3.3,3.9,0.843,1.2,4.6,5.8,3.8,1.1,0.4,2.5,1.8,20.3
Miles Bridges,SF,25,CHO,3,1,36.7,5.7,12.7,0.447,1.7,4.3,0.385,4.0,8.3,0.48,0.513,3.7,4.0,0.917,0.0,8.0,8.0,4.0,1.3,0.3,1.3,1.3,16.7
Oshae Brissett,SF,25,BOS,7,0,12.0,0.4,2.4,0.176,0.1,1.3,0.111,0.3,1.1,0.25,0.206,1.0,1.4,0.7,1.1,1.9,3.0,0.4,0.6,0.0,0.3,1.0,2.0
Malcolm Brogdon,PG,31,POR,8,3,27.8,6.1,15.1,0.405,2.0,5.9,0.34,4.1,9.3,0.446,0.471,3.0,3.8,0.8,1.0,3.8,4.8,5.5,0.8,0.0,1.6,1.4,17.3
Dillon Brooks,SF,28,HOU,12,12,31.8,5.0,9.8,0.508,2.0,4.0,0.5,3.0,5.8,0.514,0.61,1.9,2.3,0.821,0.7,3.3,3.9,1.9,1.3,0.1,1.8,3.9,13.9
Bruce Brown,SG,27,IND,12,12,30.8,4.3,9.2,0.464,1.4,3.7,0.386,2.8,5.5,0.515,0.541,1.3,1.5,0.889,0.7,3.9,4.6,2.6,0.9,0.4,0.9,2.1,11.3
Jaylen Brown,SF,27,BOS,13,13,33.8,8.0,17.8,0.448,2.5,7.2,0.34,5.5,10.6,0.522,0.517,2.8,3.9,0.725,0.5,4.5,5.0,3.2,1.0,0.5,2.5,2.9,21.3
Troy Brown Jr.,SF,24,MIN,9,0,8.3,0.4,2.0,0.222,0.1,1.1,0.1,0.3,0.9,0.375,0.25,1.3,1.3,1.0,0.4,1.9,2.3,0.7,0.3,0.0,0.3,0.4,2.3
Jalen Brunson,PG,27,NYK,14,14,35.2,8.4,19.1,0.438,3.2,6.7,0.479,5.1,12.4,0.416,0.522,4.3,4.9,0.87,0.7,2.7,3.4,5.1,0.8,0.0,2.0,1.9,24.2
Thomas Bryant,C,26,MIA,10,1,12.5,2.1,4.0,0.525,0.0,0.2,0.0,2.1,3.8,0.553,0.525,1.0,1.3,0.769,1.1,2.6,3.7,0.6,0.4,0.3,1.0,1.2,5.2
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Alec Burks,SG,32,DET,9,0,23.2,3.6,9.6,0.372,2.6,6.3,0.404,1.0,3.2,0.31,0.506,3.6,4.2,0.842,0.7,2.4,3.1,2.4,0.4,0.3,0.3,2.0,13.2
Jimmy Butler,PF,34,MIA,12,12,33.4,6.7,14.1,0.473,1.1,2.6,0.419,5.6,11.5,0.486,0.512,7.0,8.0,0.875,2.2,3.2,5.3,3.7,1.3,0.5,1.8,0.8,21.4
Kentavious Caldwell-Pope,SG,30,DEN,14,14,33.8,3.6,7.9,0.455,1.6,3.9,0.426,1.9,4.0,0.482,0.559,1.4,1.6,0.909,0.4,1.5,1.9,2.4,1.6,0.6,1.2,2.2,10.2
Toumani Camara,PF,23,POR,13,4,24.5,2.0,5.6,0.356,0.6,2.6,0.235,1.4,3.0,0.462,0.411,1.0,1.5,0.684,1.8,2.5,4.3,1.2,0.8,0.7,1.1,2.5,5.6
Jevon Carter,PG,28,CHI,15,0,14.4,2.3,5.6,0.405,1.5,3.7,0.411,0.7,1.9,0.393,0.542,0.0,0.1,0.0,0.1,0.5,0.5,1.1,0.5,0.3,0.7,1.3,6.1
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,0.378,1.0,3.2,0.313,2.4,5.8,0.414,0.433,1.6,2.8,0.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
Alex Caruso,SG,29,CHI,13,3,24.2,3.4,5.8,0.587,1.6,3.2,0.5,1.8,2.5,0.697,0.727,1.5,1.9,0.76,1.3,2.2,3.5,2.4,1.5,0.9,1.2,2.7,9.8
Julian Champagnie,SF,22,SAS,9,4,15.0,1.6,5.6,0.28,1.0,3.6,0.281,0.6,2.0,0.278,0.37,0.6,0.7,0.833,0.3,1.3,1.7,1.0,0.7,0.9,1.0,0.6,4.7
Max Christie,SG,20,LAL,9,0,12.6,1.0,3.3,0.3,0.2,1.2,0.182,0.8,2.1,0.368,0.333,0.4,0.6,0.8,0.2,2.3,2.6,0.6,0.3,0.1,0.8,1.0,2.7
Jordan Clarkson,SG,31,UTA,13,13,32.4,7.2,16.9,0.427,1.9,5.9,0.325,5.3,11.0,0.483,0.484,3.2,3.8,0.837,1.5,2.1,3.6,4.8,1.0,0.2,3.1,1.7,19.5
Amir Coffey,SF,26,LAC,6,0,6.8,0.3,1.5,0.222,0.0,0.3,0.0,0.3,1.2,0.286,0.222,0.7,0.7,1.0,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.3,1.3
John Collins,PF,26,UTA,13,13,32.4,5.5,11.0,0.503,1.6,3.6,0.447,3.9,7.4,0.531,0.577,2.2,3.1,0.725,2.8,6.1,8.9,0.9,0.7,1.0,1.2,3.5,14.9
Zach Collins,C,26,SAS,14,14,29.7,5.7,10.6,0.537,1.1,3.9,0.296,4.6,6.8,0.674,0.591,2.4,3.1,0.767,1.9,4.2,6.1,3.7,0.8,0.9,2.8,3.5,14.9
Mike Conley,PG,36,MIN,13,13,28.8,3.8,7.8,0.485,1.9,4.6,0.417,1.8,3.2,0.585,0.609,1.1,1.1,1.0,0.6,2.3,2.9,5.1,0.8,0.2,0.8,1.9,10.5
Pat Connaughton,SF,31,MIL,14,0,23.9,2.2,5.3,0.419,1.2,3.5,0.347,1.0,1.8,0.56,0.534,0.6,0.7,0.8,0.7,2.9,3.6,2.4,0.5,0.1,0.7,1.2,6.2
Bilal Coulibaly,SF,19,WAS,13,1,26.1,3.2,6.1,0.519,1.4,3.0,0.462,1.8,3.1,0.575,0.633,0.8,1.4,0.556,0.5,3.5,3.9,1.9,1.0,0.8,1.2,1.9,8.5
Robert Covington,SF-PF,33,TOT,13,6,17.1,1.5,3.7,0.417,0.5,2.2,0.25,1.0,1.5,0.65,0.49,0.7,0.8,0.9,1.1,1.7,2.8,1.0,1.6,0.5,0.2,1.8,4.3
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,0.333,0.7,2.7,0.25,0.3,0.3,1.0,0.444,0.3,0.7,0.5,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,10,3,15.3,1.7,3.9,0.436,0.5,2.0,0.25,1.2,1.9,0.632,0.5,0.8,0.8,1.0,1.2,1.6,2.8,0.6,1.5,0.5,0.3,1.6,4.7
Torrey Craig,SF,33,CHI,15,7,22.3,2.0,5.0,0.4,0.7,2.5,0.297,1.3,2.5,0.5,0.473,0.3,0.3,1.0,1.8,3.3,5.1,1.3,0.7,0.3,0.5,2.5,5.1
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,0.532,1.8,3.4,0.516,1.0,1.8,0.563,0.702,0.8,1.3,0.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,15,15,35.5,7.9,19.6,0.405,1.9,6.0,0.322,6.0,13.6,0.441,0.454,3.6,4.1,0.871,0.6,3.1,3.7,7.3,0.8,0.3,4.8,3.2,21.4
Seth Curry,SG,33,DAL,10,0,10.1,1.2,2.8,0.429,0.4,1.5,0.267,0.8,1.3,0.615,0.5,0.6,0.7,0.857,0.3,1.0,1.3,0.8,0.6,0.1,0.4,0.6,3.4
Stephen Curry,PG,35,GSW,13,13,33.2,9.3,19.2,0.484,5.5,12.2,0.453,3.8,7.0,0.538,0.628,6.2,6.7,0.931,0.8,4.1,4.8,3.6,0.8,0.2,3.6,1.6,30.4
Dyson Daniels,PG,20,NOP,14,7,27.5,3.4,7.2,0.465,1.0,3.0,0.333,2.4,4.2,0.559,0.535,0.8,1.4,0.579,1.1,3.8,4.9,3.9,1.4,0.4,1.4,2.0,8.5
Anthony Davis,C,30,LAL,13,13,35.7,8.2,15.5,0.53,0.2,0.8,0.3,8.0,14.8,0.542,0.537,5.3,6.2,0.863,3.1,8.6,11.7,3.3,0.9,3.3,2.2,3.2,22.0
Johnny Davis,SG,21,WAS,8,0,8.9,1.8,3.3,0.538,0.1,0.3,0.5,1.6,3.0,0.542,0.558,0.3,0.4,0.667,0.4,0.8,1.1,0.4,0.6,0.1,0.3,0.8,3.9
DeMar DeRozan,SF,34,CHI,14,14,35.3,7.4,16.5,0.45,0.9,2.4,0.382,6.5,14.1,0.462,0.478,5.2,6.4,0.811,1.0,2.2,3.2,4.4,1.0,0.9,1.1,1.9,21.0
Gradey Dick,SG,20,TOR,13,1,15.4,1.2,4.5,0.271,0.7,2.9,0.237,0.5,1.6,0.333,0.347,0.9,0.9,1.0,0.5,0.9,1.5,1.0,0.3,0.0,0.8,1.7,4.1
Ousmane Dieng,PF,20,OKC,10,0,11.3,1.3,3.4,0.382,0.7,2.5,0.28,0.6,0.9,0.667,0.485,0.3,0.4,0.75,0.5,1.5,2.0,0.9,0.1,0.0,0.4,0.6,3.6
